id_prestamo;fecha;id_libro;generos;formato;perfil_socio;sala;dias_prestamo;renovaciones;dias_retraso;comentario
304;23/01/2026;L0007;"historica;novela negra";Audiolibro;Adulto;Central;14.0;0;0.0;
7020;30/05/2026;L0188;"novela negra;fantasia";Fisico;Infantil;Barrio Sur;14.0;0;0.0;
5703;09/05/2026;L0034;"novela negra;terror";Fisico;Adulto;Barrio Sur;30.0;2;0.0;
3800;06/04/2026;L0041;"terror;biografia";Fisico;Infantil;Central;14.0;0;4.0;
7019;30/05/2026;L0050;"romantica;ciencia ficcion";Fisico;Senior;Barrio Sur;14.0;0;0.0;El socio pide renovar otra vez
9128;02/07/2026;L0109;"ensayo;poesia;terror";Fisico;Adulto;Barrio Sur;30.0;0;0.0;Ejemplar algo deteriorado
6490;22/05/2026;L0151;"historica;novela negra";Fisico;Infantil;Barrio Norte;;0;7.0;
4075;11/04/2026;L0019;terror;Fisico;Infantil;Barrio Norte;30.0;0;0.0;
5748;10/05/2026;L0136;"novela negra;ensayo;ciencia ficcion";Fisico;Adulto;Central;14.0;0;9.0;
3318;28/03/2026;L0080;ciencia ficcion;Fisico;Adulto;Barrio Sur;14.0;1;0.0;
5555;07/05/2026;L0059;"poesia;biografia";Fisico;Senior;barrio norte;30.0;0;3.0;
7803;11/06/2026;L0050;"romantica;ciencia ficcion";Ebook;Adulto;Central;14.0;0;0.0;
8062;15/06/2026;L0121;"fantasia;terror";Ebook;Infantil;Barrio Sur;14.0;0;0.0;
3283;28/03/2026;L0167;ciencia ficcion;Fisico;Senior;Barrio Sur;21.0;0;0.0;
5429;05/05/2026;L0007;"historica;novela negra";Fisico;Infantil;barrio sur;30.0;0;0.0;
4375;17/04/2026;L0200;"ciencia ficcion;fantasia;terror";Ebook;Adulto;Barrio Norte;30.0;0;0.0;
3394;29/03/2026;L0022;"biografia;poesia";Fisico;Adulto;Barrio Norte;7.0;0;0.0;
9975;14/07/2026;L0078;novela negra;Ebook;Adulto;Barrio Norte;21.0;0;0.0;
8567;23/06/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Adulto;Central;7.0;0;0.0;
7773;11/06/2026;L0107;fantasia;Ebook;Infantil;Barrio Sur;14.0;0;0.0;
97;18/01/2026;L0200;"ciencia ficcion;fantasia;terror";Ebook;Adulto;Barrio Sur;30.0;1;0.0;
736;02/02/2026;L0052;"poesia;ensayo";Fisico;Adulto;Central;30.0;0;0.0;Paginas subrayadas a lapiz
9287;04/07/2026;L0200;"ciencia ficcion;fantasia;terror";Ebook;Infantil;Central;7.0;1;;Devuelto en perfecto estado
3239;27/03/2026;L0096;"juvenil;ensayo;ciencia ficcion";Fisico;Adulto;Barrio Norte;14.0;0;5.0;El socio pide renovar otra vez
8865;28/06/2026;L0015;poesia;Fisico;Infantil;Central;30.0;0;18.0;Devuelto en perfecto estado
108;18/01/2026;L0056;"ensayo;poesia";Fisico;Adulto;Barrio Norte;14.0;0;0.0;
9362;05/07/2026;L0103;"romantica;fantasia";Fisico;Senior;Barrio Norte;7.0;1;1.0;
7573;08/06/2026;L0083;"novela negra;poesia";Ebook;Infantil;Barrio Sur;14.0;1;0.0;
3129;24/03/2026;L0004;"poesia;ensayo";Fisico;Adulto;BARRIO SUR;21.0;0;2.0;
4053;11/04/2026;L0102;"romantica;novela negra;fantasia";Fisico;Infantil;Central;14.0;0;0.0;
4792;24/04/2026;L0007;"historica;novela negra";Fisico;Infantil;Barrio Norte;14.0;0;11.0;
7647;09/06/2026;L0084;"ciencia ficcion;poesia;terror";Fisico;;BARRIO SUR;14.0;0;0.0;
4468;18/04/2026;L0028;"juvenil;novela negra;historica";Audiolibro;Adulto;Barrio Norte;14.0;0;0.0;
5886;12/05/2026;L0103;"romantica;fantasia";Audiolibro;Adulto;Barrio Norte;30.0;2;0.0;
6210;18/05/2026;L0034;"  novela negra;terror ";Fisico;Adulto;Central;7.0;0;0.0;devuelto en perfecto estado
1598;21/02/2026;L0065;biografia;Fisico;Infantil;barrio sur;14.0;0;0.0;
2216;06/03/2026;L0121;"fantasia;terror";Ebook;Adulto;Central;30.0;0;0.0;
417;26/01/2026;L0097;"juvenil;historica;novela negra";Ebook;Adulto;Barrio Sur;30.0;0;0.0;
8058;15/06/2026;L0010;"  ensayo;novela negra ";Fisico;Infantil;Barrio Norte;7.0;2;0.0;Le falta la sobrecubierta
9098;02/07/2026;L0176;JUVENIL;Audiolibro;Adulto;Barrio Sur;;0;0.0;
1088;10/02/2026;L0072;"poesia;biografia;fantasia";Fisico;Adulto;Barrio Norte;;0;7.0;
3616;03/04/2026;L0010;"ensayo;novela negra";Fisico;Adulto;CENTRAL;14.0;2;0.0;Paginas subrayadas a lapiz
648;31/01/2026;L0019;terror;Fisico;Adulto;Central;21.0;0;0.0;
3956;09/04/2026;L0107;fantasia;Fisico;Adulto;Barrio Sur;7.0;1;0.0;
5803;11/05/2026;L0028;"juvenil;novela negra;historica";Fisico;Adulto;Barrio Sur;14.0;0;0.0;
7478;07/06/2026;L0074;"terror;biografia";Fisico;Infantil;Barrio Norte;30.0;0;0.0;
4609;21/04/2026;L0020;"fantasia;novela negra";Fisico;Adulto;Barrio Norte;7.0;1;0.0;
8798;27/06/2026;L0119;"novela negra;romantica";Fisico;Infantil;Barrio Norte;30.0;0;0.0;Paginas subrayadas a lapiz
8848;28/06/2026;L0034;"novela negra;terror";Fisico;Infantil;Barrio Sur;14.0;0;0.0;
6638;24/05/2026;L0171;"poesia;romantica;fantasia";Fisico;Adulto;Barrio Sur;7.0;0;;
5034;28/04/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Senior;Central;21.0;1;0.0;
32;16/01/2026;L0003;"biografia;poesia";Ebook;Infantil;Central;14.0;0;0.0;
719;02/02/2026;L0123;"historica;juvenil";Audiolibro;Infantil;Barrio Sur;7.0;0;0.0;
7619;09/06/2026;L0047;"ciencia ficcion;novela negra;romantica";Fisico;Adulto;barrio sur;30.0;0;0.0;
1057;09/02/2026;L0005;poesia;Ebook;Adulto;Barrio Sur;7.0;0;0.0;
3496;31/03/2026;L0005;poesia;Ebook;Adulto;Central;7.0;2;0.0;
4090;12/04/2026;L0034;"novela negra;terror";Fisico;Senior;  Central ;;0;0.0;
9387;05/07/2026;L0062;"ciencia ficcion;novela negra";Fisico;;Barrio Norte;14.0;0;0.0;Devuelto en perfecto estado
7678;09/06/2026;L0060;"juvenil;terror";Ebook;Adulto;central;14.0;0;0.0;
8252;19/06/2026;L0067;"juvenil;romantica;fantasia";Audiolibro;Senior;Central;7.0;1;0.0;
766;03/02/2026;L0062;"ciencia ficcion;novela negra";Ebook;Adulto;  Barrio Norte ;30.0;0;0.0;
2393;10/03/2026;L0028;"juvenil;novela negra;historica";Ebook;Senior;Barrio Sur;7.0;2;0.0;
2271;07/03/2026;L0029;"fantasia;biografia";Fisico;Adulto;Barrio Sur;14.0;0;0.0;Ejemplar algo deteriorado
501;28/01/2026;L0141;"historica;fantasia";Audiolibro;Senior;Barrio Norte;7.0;0;0.0;muy solicitado, hay lista de espera
4202;14/04/2026;L0200;"ciencia ficcion;fantasia;terror";Ebook;Adulto;Barrio Norte;30.0;0;0.0;
5080;29/04/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Adulto;Barrio Norte;21.0;0;0.0;
1189;12/02/2026;L0045;"romantica;ciencia ficcion";Fisico;Adulto;Barrio Norte;21.0;0;0.0;
5804;11/05/2026;L0093;"historica;fantasia";Fisico;Adulto;Central;14.0;0;0.0;
1796;25/02/2026;L0011;fantasia;Ebook;Infantil;Barrio Sur;30.0;2;0.0;
1617;21/02/2026;L0007;"historica;novela negra";Fisico;Adulto;Barrio Sur;7.0;0;0.0;
7143;02/06/2026;L0091;"ensayo;juvenil";Fisico;Senior;Barrio Sur;30.0;0;8,0 dias;
1795;25/02/2026;L0007;"historica;novela negra";Ebook;Adulto;Barrio Norte;7.0;2;0.0;Muy solicitado, hay lista de espera
36;17/01/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Senior;Barrio Sur;21.0;0;0.0;
81;17/01/2026;L0053;"biografia;ensayo;novela negra";Fisico;Infantil;Central;14.0;1;14.0;
3028;22/03/2026;L0097;"juvenil;historica;novela negra";Fisico;Infantil;Central;21.0;0;0.0;
8512;22/06/2026;L0172;"biografia;romantica;novela negra";Ebook;Infantil;Barrio Sur;14.0;0;0.0;
8505;22/06/2026;L0088;biografia;Ebook;Senior;Barrio Sur;30.0;0;0.0;
1146;11/02/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Senior;Central;21.0;1;0.0;
3874;07/04/2026;L0183;"ensayo;ciencia ficcion";Fisico;Adulto;Barrio Sur;30.0;0;12.0;Le falta la sobrecubierta
5909;13/05/2026;L0015;poesia;Fisico;Senior;Barrio Norte;7.0;1;0.0;
734;02/02/2026;L0119;"novela negra;romantica";Fisico;Senior;Barrio Norte;14.0;1;;
9609;09/07/2026;L0062;"ciencia ficcion;novela negra";Fisico;;Barrio Norte;7.0;0;4,0 dias;
622;31/01/2026;L0034;"novela negra;terror";Fisico;Infantil;Central;21.0;1;0.0;
8652;25/06/2026;L0053;"biografia;ensayo;novela negra";Fisico;Adulto;Barrio Norte;21.0;1;0.0;Ejemplar algo deteriorado
6955;29/05/2026;L0186;"terror;biografia;novela negra";Fisico;Adulto;Barrio Norte;14.0;0;0.0;
2523;12/03/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Adulto;Barrio Sur;21.0;1;0.0;
8129;16/06/2026;L0034;"novela negra;terror";Fisico;Senior;Central;21.0;0;0.0;DEVUELTO EN PERFECTO ESTADO
1218;13/02/2026;L0044;"novela negra;historica";Fisico;Senior;Barrio Sur;7.0;1;6.0;
1672;22/02/2026;L0007;"historica;novela negra";Fisico;Adulto;Barrio Sur;7.0;2;0.0;
8180;17/06/2026;L0042;ciencia ficcion;Ebook;Senior;Barrio Norte;21.0;0;0.0;
374;25/01/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Senior;Central;30.0;0;0.0;
3147;25/03/2026;L0010;"ensayo;novela negra";Ebook;Adulto;Central;14.0;0;0.0;
9245;04/07/2026;L0034;"novela negra;terror";Audiolibro;Adulto;Central;30.0;0;0.0;
3998;10/04/2026;L0066;"juvenil;biografia";Fisico;Adulto;Barrio Norte;14.0;0;7.0;
8028;15/06/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Adulto;Barrio Sur;7.0;1;0.0;
8256;19/06/2026;L0068;"historica;romantica;fantasia";Fisico;Infantil;barrio norte;30.0;1;0.0;
7199;02/06/2026;L0034;"novela negra;terror";Fisico;Infantil;Barrio Norte;21.0;0;0.0;
9011;30/06/2026;L0034;"novela negra;terror";Fisico;Adulto;Central;7.0;1;0.0;
7276;04/06/2026;L0013;"terror;poesia;ensayo";Fisico;Adulto;Barrio Norte;14.0;0;0.0;
4095;12/04/2026;L0017;"CIENCIA FICCION;JUVENIL;NOVELA NEGRA";Fisico;Adulto;Barrio Sur;14.0;0;0.0;
3040;22/03/2026;L0013;"terror;poesia;ensayo";Fisico;Senior;Barrio Sur;7.0;0;6.0;El socio pide renovar otra vez
3017;22/03/2026;L0002;fantasia;Ebook;Infantil;Central;7.0;0;0.0;
6628;24/05/2026;L0079;"juvenil;historica";Ebook;Infantil;Barrio Sur;14.0;1;0.0;
624;31/01/2026;L0145;"poesia;historica";Ebook;Infantil;Central;21.0;0;0.0;
7972;14/06/2026;L0104;"romantica;ciencia ficcion";Fisico;Adulto;Barrio Norte;7.0;0;5.0;
3405;29/03/2026;L0035;ciencia ficcion;Fisico;Adulto;Barrio Sur;14.0;0;0.0;
6946;29/05/2026;L0007;"historica;novela negra";Fisico;Adulto;Barrio Norte;14.0;0;0.0;
6484;22/05/2026;L0084;"ciencia ficcion;poesia;terror";Ebook;Adulto;Barrio Norte;21.0;0;0.0;
8160;17/06/2026;L0134;"romantica;novela negra;biografia";Audiolibro;Adulto;Barrio Norte;21.0;2;0,0 dias;
4804;24/04/2026;L0044;"novela negra;historica";Fisico;Senior;Barrio Sur;14.0;1;4.0;
5000;27/04/2026;L0027;"poesia;fantasia;historica";Fisico;Adulto;Barrio Norte;14.0;2;4.0;
322;24/01/2026;L0004;"poesia;ensayo";Fisico;Adulto;Central;14.0;0;0.0;
1769;24/02/2026;L0034;"novela negra;terror";Fisico;Adulto;Barrio Sur;14.0;0;0.0;Ejemplar algo deteriorado
4148;12/04/2026;L0044;"novela negra;historica";Fisico;Senior;Barrio Norte;30.0;1;0.0;
3321;28/03/2026;L0062;"ciencia ficcion;novela negra";Fisico;Adulto;Barrio Norte;21.0;0;4.0;
8605;24/06/2026;L0052;"poesia;ensayo";Fisico;Infantil;Barrio Norte;14.0;0;0.0;
7749;10/06/2026;L0011;fantasia;Ebook;Adulto;Central;30.0;0;0.0;
2120;04/03/2026;L0194;ensayo;Fisico;Senior;Barrio Sur;30.0;0;0.0;
1181;12/02/2026;L0119;"novela negra;romantica";Audiolibro;Adulto;Barrio Sur;14.0;0;0.0;
569;30/01/2026;L0053;"biografia;ensayo;novela negra";Fisico;Adulto;Central;30.0;0;0.0;
9361;05/07/2026;L0017;"ciencia ficcion;juvenil;novela negra";Fisico;Senior;Central;21.0;0;0.0;
9675;10/07/2026;L0032;"  poesia;novela negra ";Fisico;Senior;Barrio Sur;14.0;0;1.0;
577;30/01/2026;L0064;historica;Ebook;Senior;Barrio Norte;14.0;0;0.0;Muy solicitado, hay lista de espera
8757;27/06/2026;L0181;"ciencia ficcion;fantasia";Fisico;Senior;Barrio Sur;7.0;0;12.0;
7629;09/06/2026;L0133;"historica;fantasia;poesia";Audiolibro;Adulto;Barrio Norte;14.0;1;0.0;
6114;16/05/2026;L0011;fantasia;Ebook;Adulto;Central;14.0;1;0.0;
6847;28/05/2026;L0020;"fantasia;novela negra";Fisico;Senior;Barrio Norte;14.0;0;0.0;
6089;16/05/2026;L0061;"historica;romantica";Audiolibro;Adulto;Barrio Sur;14.0;1;0.0;
8021;14/06/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Senior;Barrio Norte;;0;3.0;
2222;06/03/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Adulto;Barrio Norte;14.0;2;0.0;
488;28/01/2026;L0024;"novela negra;biografia";Audiolibro;Adulto;Central;30.0;2;0.0;
9689;10/07/2026;L0020;"fantasia;novela negra";Fisico;Senior;Barrio Norte;7.0;0;0.0;
2803;18/03/2026;L0167;ciencia ficcion;Fisico;Adulto;Barrio Sur;30.0;0;0.0;
7475;07/06/2026;L0131;juvenil;Fisico;Senior;Central;21.0;0;0.0;
1607;21/02/2026;L0047;"ciencia ficcion;novela negra;romantica";Fisico;Senior;Barrio Sur;30.0;0;0.0;
1852;26/02/2026;L0017;"ciencia ficcion;juvenil;novela negra";Ebook;Adulto;Barrio Norte;14.0;1;0.0;
519;28/01/2026;L0091;"ensayo;juvenil";Fisico;Adulto;Barrio Norte;14.0;1;0.0;el socio pide renovar otra vez
2587;14/03/2026;L0013;"terror;poesia;ensayo";Fisico;Senior;Central;7.0;1;0,0 dias;
4405;17/04/2026;L0019;terror;Audiolibro;Adulto;Barrio Sur;30.0;0;0.0;
9242;04/07/2026;L0020;"fantasia;novela negra";Fisico;Adulto;Central;14.0;0;0.0;
40;17/01/2026;L0028;"juvenil;novela negra;historica";Fisico;Adulto;Central;30.0;1;7.0;
9232;04/07/2026;L0001;"historica;biografia";Audiolibro;Adulto;Central;14.0;1;0.0;
9604;09/07/2026;L0011;fantasia;Fisico;Adulto;CENTRAL;30.0;0;12,0 dias;
1576;20/02/2026;L0023;"juvenil;biografia";Fisico;;Barrio Sur;14.0;0;0.0;
6736;26/05/2026;L0134;"romantica;novela negra;biografia";Fisico;Infantil;Central;30.0;0;2.0;
3974;09/04/2026;L0008;"romantica;juvenil;ensayo";Fisico;Adulto;Central;7.0;0;0.0;
3024;22/03/2026;L0040;fantasia;Fisico;Senior;Central;14.0;0;0.0;
4727;23/04/2026;L0151;"historica;novela negra";Fisico;Senior;Barrio Sur;7.0;0;0.0;
7377;05/06/2026;L0010;"ensayo;novela negra";Ebook;Adulto;Barrio Sur;30.0;0;0.0;
3106;24/03/2026;L0038;"poesia;ciencia ficcion";Ebook;Senior;barrio norte;21.0;1;0.0;
5992;14/05/2026;L0068;"historica;romantica;fantasia";Fisico;Adulto;Barrio Norte;14.0;1;6.0;Le falta la sobrecubierta
4976;27/04/2026;L0005;poesia;Ebook;Adulto;Barrio Sur;14.0;0;0.0;
4162;13/04/2026;L0044;"novela negra;historica";Fisico;Senior;Central;7.0;2;0.0;
6988;30/05/2026;L0007;"historica;novela negra";Ebook;Infantil;Barrio Norte;30.0;0;0.0;
5988;14/05/2026;L0027;"poesia;fantasia;historica";Audiolibro;Adulto;Central;7.0;1;0.0;
5994;15/05/2026;L0014;historica;Audiolibro;Adulto;BARRIO NORTE;14.0;0;0.0;Paginas subrayadas a lapiz
260;22/01/2026;L0010;"ensayo;novela negra";Fisico;Adulto;Barrio Sur;21.0;2;0.0;
3887;08/04/2026;L0105;"juvenil;historica";Fisico;Adulto;Barrio Sur;14.0;2;0.0;
5737;10/05/2026;L0101;"biografia;historica";Ebook;Infantil;Barrio Norte;21.0;0;0.0;
8645;25/06/2026;L0032;"poesia;novela negra";Ebook;Senior;  Central ;14.0;0;0.0;
1447;18/02/2026;L0015;poesia;Ebook;Infantil;  Barrio Sur ;30.0;1;0.0;DEVUELTO EN PERFECTO ESTADO
9320;05/07/2026;L0017;"ciencia ficcion;juvenil;novela negra";Fisico;Infantil;Barrio Sur;21.0;0;0.0;
6373;21/05/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Adulto;Barrio Sur;30.0;0;0.0;
9956;14/07/2026;L0053;"biografia;ensayo;novela negra";Fisico;Adulto;Central;21.0;0;0,0 dias;Muy solicitado, hay lista de espera
8524;22/06/2026;L0023;"juvenil;biografia";Ebook;Infantil;Barrio Norte;30.0;1;;
6308;20/05/2026;L0032;"poesia;novela negra";Fisico;Adulto;Central;21.0;0;0.0;
1881;27/02/2026;L0053;"biografia;ensayo;novela negra";Fisico;;Central;21.0;1;0.0;
6502;23/05/2026;L0151;"historica;novela negra";Fisico;Adulto;Central;14.0;1;0.0;
4662;22/04/2026;L0143;novela negra;Fisico;Adulto;Barrio Norte;7.0;0;;Le falta la sobrecubierta
8330;20/06/2026;L0123;"historica;juvenil";Fisico;Adulto;Central;7.0;0;0.0;
3488;31/03/2026;L0106;"juvenil;historica;novela negra";Fisico;Adulto;Barrio Norte;30.0;1;0.0;
933;07/02/2026;L0038;"  poesia;ciencia ficcion ";Fisico;Adulto;Barrio Norte;30.0;1;0.0;El socio pide renovar otra vez
3847;07/04/2026;L0007;"  historica;novela negra ";Ebook;Adulto;Barrio Norte;21.0;1;0.0;
4282;15/04/2026;L0109;"ensayo;poesia;terror";Fisico;Adulto;Central;30.0;0;12.0;
6740;26/05/2026;L0098;"historica;biografia";Fisico;Adulto;Central;7.0;0;0.0;Devuelto en perfecto estado
4203;14/04/2026;L0005;poesia;Audiolibro;Adulto;Barrio Sur;30.0;0;0.0;
9294;04/07/2026;L0044;"novela negra;historica";Fisico;Senior;Barrio Norte;30.0;0;0.0;
8772;27/06/2026;L0028;"juvenil;novela negra;historica";Fisico;Adulto;Central;14.0;0;0.0;
1331;15/02/2026;L0019;terror;Ebook;Adulto;Barrio Norte;30.0;1;0.0;
451;27/01/2026;L0115;biografia;Fisico;Senior;Barrio Norte;30.0;0;32.0;
4439;18/04/2026;L0026;"romantica;juvenil";Fisico;Infantil;Central;14.0;0;0.0;
8777;27/06/2026;L0058;"biografia;ciencia ficcion";Fisico;Infantil;Barrio Norte;14.0;1;0.0;El socio pide renovar otra vez
9906;13/07/2026;L0028;"juvenil;novela negra;historica";Fisico;Infantil;Central;21.0;0;;
484;28/01/2026;L0033;"ciencia ficcion;fantasia;romantica";Fisico;Infantil;Barrio Norte;7.0;1;0.0;
5471;05/05/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Adulto;Central;14.0;1;27.0;
795;04/02/2026;L0119;"novela negra;romantica";Fisico;Adulto;Central;7.0;0;5.0;
1319;15/02/2026;L0065;  biografia ;Audiolibro;Adulto;Barrio Sur;14.0;1;0.0;
6774;26/05/2026;L0044;"novela negra;historica";Fisico;Adulto;Barrio Norte;30.0;0;0.0;
2475;11/03/2026;L0008;"romantica;juvenil;ensayo";Ebook;Adulto;Central;14.0;2;;
7774;11/06/2026;L0010;"ensayo;novela negra";Fisico;Infantil;Central;14.0;1;1.0;
120;18/01/2026;L0033;"ciencia ficcion;fantasia;romantica";Fisico;Infantil;Central;30.0;0;4.0;
3992;10/04/2026;L0130;"  juvenil;ciencia ficcion ";Fisico;Adulto;Barrio Norte;21.0;0;0.0;
4707;23/04/2026;L0029;"FANTASIA;BIOGRAFIA";Ebook;Adulto;Central;14.0;2;0.0;
3974;09/04/2026;L0008;"romantica;juvenil;ensayo";Fisico;Adulto;Central;7.0;0;0.0;
7869;12/06/2026;L0007;"historica;novela negra";Fisico;Adulto;Barrio Sur;30.0;2;0.0;
5174;30/04/2026;L0055;  poesia ;Fisico;Adulto;Barrio Sur;21.0;1;0.0;
511;28/01/2026;L0085;"terror;romantica;ensayo";Fisico;;Barrio Norte;14.0;1;0.0;Ejemplar algo deteriorado
7622;09/06/2026;L0004;"poesia;ensayo";Fisico;Infantil;Barrio Norte;30.0;1;0.0;
800;04/02/2026;L0121;"fantasia;terror";Ebook;Infantil;Central;14.0;0;0.0;El socio pide renovar otra vez
583;30/01/2026;L0116;ciencia ficcion;Fisico;Adulto;Barrio Norte;30.0;0;4.0;
5840;12/05/2026;L0022;"biografia;poesia";Fisico;Infantil;Central;21.0;1;0.0;
1433;17/02/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Infantil;Barrio Sur;14.0;1;0.0;
533;29/01/2026;L0013;"terror;poesia;ensayo";Fisico;Adulto;Barrio Norte;14.0;0;3.0;Devuelto en perfecto estado
2992;22/03/2026;L0022;"biografia;poesia";Fisico;Infantil;Barrio Norte;14.0;0;0.0;
347;24/01/2026;L0200;"ciencia ficcion;fantasia;terror";Fisico;Infantil;Barrio Norte;7.0;0;0.0;Le falta la sobrecubierta
7311;04/06/2026;L0007;"historica;novela negra";Ebook;Adulto;Barrio Norte;30.0;0;0.0;
2983;22/03/2026;L0024;"novela negra;biografia";Fisico;Senior;Barrio Norte;14.0;0;0.0;Devuelto en perfecto estado
296;23/01/2026;L0050;"romantica;ciencia ficcion";Fisico;Adulto;Barrio Norte;30.0;0;1.0;
2886;20/03/2026;L0041;"TERROR;BIOGRAFIA";Fisico;Infantil;Barrio Norte;14.0;0;0,0 dias;
5205;01/05/2026;L0100;fantasia;Ebook;Adulto;Barrio Norte;7.0;1;0.0;
3567;02/04/2026;L0043;"romantica;fantasia";Fisico;Adulto;Barrio Norte;21.0;1;7.0;
305;24/01/2026;L0096;"juvenil;ensayo;ciencia ficcion";Fisico;Infantil;Barrio Norte;7.0;1;0.0;
5338;03/05/2026;L0032;"poesia;novela negra";Fisico;Infantil;Central;30.0;1;0.0;
2108;03/03/2026;L0137;"ciencia ficcion;biografia";Fisico;Infantil;Barrio Sur;14.0;0;0.0;
8620;24/06/2026;L0032;"poesia;novela negra";Ebook;Infantil;Central;7.0;0;0.0;
9069;01/07/2026;L0010;"ensayo;novela negra";Fisico;Senior;Central;21.0;0;0.0;
1374;16/02/2026;L0131;juvenil;Fisico;Adulto;Central;14.0;2;0.0;Paginas subrayadas a lapiz
3296;28/03/2026;L0024;"novela negra;biografia";Fisico;Adulto;Barrio Norte;30.0;0;13.0;
312;24/01/2026;L0050;"romantica;ciencia ficcion";Fisico;Infantil;Central;14.0;0;0.0;El socio pide renovar otra vez
8068;15/06/2026;L0080;ciencia ficcion;Fisico;Infantil;Barrio Norte;7.0;0;0.0;Paginas subrayadas a lapiz
9229;04/07/2026;L0126;fantasia;Fisico;Adulto;Barrio Sur;14.0;1;0.0;
7506;07/06/2026;L0032;"poesia;novela negra";Fisico;Adulto;Barrio Sur;7.0;0;2.0;
8340;20/06/2026;L0007;"historica;novela negra";Ebook;Infantil;Central;14.0;2;0.0;
5227;01/05/2026;L0065;biografia;Ebook;Adulto;Barrio Norte;14.0;1;0.0;
9880;13/07/2026;L0097;"juvenil;historica;novela negra";Fisico;Adulto;Central;30.0;0;0.0;
5054;28/04/2026;L0033;"ciencia ficcion;fantasia;romantica";Fisico;Adulto;Central;30.0;2;9.0;
1027;09/02/2026;L0119;"novela negra;romantica";Fisico;Infantil;Central;21.0;0;0.0;
6082;16/05/2026;L0120;"biografia;juvenil;ensayo";Audiolibro;Adulto;Barrio Sur;21.0;0;;Ejemplar algo deteriorado
4589;20/04/2026;L0074;"terror;biografia";Fisico;;Central;;1;0.0;
107;18/01/2026;L0071;terror;Fisico;Adulto;Barrio Norte;14.0;1;;
4154;12/04/2026;L0042;CIENCIA FICCION;Fisico;Infantil;Central;14.0;0;0.0;
8818;27/06/2026;L0028;"juvenil;novela negra;historica";Ebook;Adulto;Central;21.0;1;0.0;
1741;23/02/2026;L0016;historica;Fisico;Senior;Barrio Norte;30.0;2;14.0;
4541;20/04/2026;L0038;"poesia;ciencia ficcion";Fisico;Adulto;Barrio Norte;30.0;0;0.0;
8919;29/06/2026;L0086;"terror;poesia;ensayo";Fisico;Infantil;Barrio Sur;21.0;0;5.0;Le falta la sobrecubierta
